Campana;Etapa_Pago;Fecha;Archivo_Origen;Carpeta;Tabaco;Clase;Porcentaje;Adelanto_1;Adelanto_2;Incremento;Precio_Total_Acumulado;Comprador;Vendedor;Adelanto_1_USD;Adelanto_2_USD;Incremento_USD;Precio_Total_Acumulado_USD
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 7-2007.pdf;Campana_2006-2007;VIRGINIA;38;4;0.592;0.488;0.488;0.288;3.904;3.955;0.14968394437420984;0.12338811630847028;0.12338811630847028;0.07281921618204804
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 361-2007.pdf;Campana_2007-2008;BURLEY;76;8;0.6;0.712;0.56;0.64;3.904;3.955;0.15170670037926673;0.1800252844500632;0.1415929203539823;0.16182048040455121
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 361-2007.pdf;Campana_2007-2008;BURLEY;69;6;0.736;0.584;0.688;0.52;3.904;3.955;0.18609355246523387;0.14766118836915296;0.17395701643489253;0.13147914032869784
2005-2006;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 9-2006.pdf;Campana_2005-2006;BURLEY;62;4;0.296;0.08;0.24;0.2;3.904;3.955;0.07484197218710492;0.020227560050568902;0.0606826801517067;0.050568900126422255
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 362-2007.pdf;Campana_2007-2008;VIRGINIA;Y;2;5465.0;;;5465.0;3.904;3.955;1381.795195954488;;;1381.795195954488
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 362-2007.pdf;Campana_2007-2008;VIRGINIA;65;6;0.664;0.568;0.648;0.544;3.904;3.955;0.16788874841972187;0.14361567635903918;0.1638432364096081;0.13754740834386853
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 362-2007.pdf;Campana_2007-2008;VIRGINIA;42;4;0.68;0.576;0.384;0.592;3.904;3.955;0.17193426042983567;0.14563843236409607;0.09709228824273072;0.14968394437420984
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 362-2007.pdf;Campana_2007-2008;VIRGINIA;48;8;0.288;0.6;0.512;0.312;3.904;3.955;0.07281921618204804;0.15170670037926673;0.12945638432364096;0.07888748419721871
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 362-2007.pdf;Campana_2007-2008;VIRGINIA;35;2;0.568;0.472;0.312;0.48;3.904;3.955;0.14361567635903918;0.1193426042983565;0.07888748419721871;0.1213653603034134
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 362-2007.pdf;Campana_2007-2008;VIRGINIA;38;4;0.216;;;0.216;3.904;3.955;0.05461441213653603;;;0.05461441213653603
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 361-2007.pdf;Campana_2007-2008;VIRGINIA;Y;2;5465.0;;;5465.0;3.904;3.955;1381.795195954488;;;1381.795195954488
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 362-2007.pdf;Campana_2007-2008;VIRGINIA;38;4;0.344;0.4;0.296;0.312;3.904;3.955;0.08697850821744627;0.10113780025284451;0.07484197218710492;0.07888748419721871
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 362-2007.pdf;Campana_2007-2008;VIRGINIA;13;6;0.136;0.12;0.84;0.76;3.904;3.955;0.03438685208596713;0.03034134007585335;0.21238938053097345;0.19216182048040456
2007-2008;Resolución / Anexo General;1975-11-13;000004-Resolución Nº 10-2008.pdf;Campana_2007-2008;BURLEY;09;6;0.075;0.089;0.089;0.07;3.904;3.955;0.01896333754740834;0.0225031605562579;0.0225031605562579;0.017699115044247787
2007-2008;Resolución / Anexo General;1975-11-13;000004-Resolución Nº 10-2008.pdf;Campana_2007-2008;BURLEY;06;5;0.079;0.033;0.057;0.07;3.904;3.955;0.019974715549936788;0.008343868520859672;0.014412136536030342;0.017699115044247787
2007-2008;Resolución / Anexo General;1975-11-13;000004-Resolución Nº 10-2008.pdf;Campana_2007-2008;BURLEY;04;1;0.045;0.073;0.078;0.037;3.904;3.955;0.011378002528445006;0.01845764854614412;0.019721871049304677;0.009355246523388115
2005-2006;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 167-2006.pdf;Campana_2005-2006;VIRGINIA;Y;2;5465.0;;;5465.0;3.904;3.955;1381.795195954488;;;1381.795195954488
2005-2006;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 168-2006.pdf;Campana_2005-2006;CRIOLLO CHAQUEÑO;35;6;0.3;0.164;;0.164;3.904;3.955;0.07585335018963336;0.04146649810366625;;0.04146649810366625
2005-2006;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 166-2006.pdf;Campana_2005-2006;VIRGINIA;Y;2;5465.0;;;5465.0;3.904;3.955;1381.795195954488;;;1381.795195954488
2005-2006;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 9-2006.pdf;Campana_2005-2006;VIRGINIA;Y;2;5465.0;;;5465.0;3.904;3.955;1381.795195954488;;;1381.795195954488
2005-2006;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 9-2006.pdf;Campana_2005-2006;BURLEY;68;8;0.52;0.632;0.264;0.456;3.904;3.955;0.13147914032869784;0.1597977243994943;0.06675094816687738;0.11529709228824274
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 362-2007.pdf;Campana_2007-2008;VIRGINIA;20;8;0.16;0.16;0.16;0.12;3.904;3.955;0.040455120101137804;0.040455120101137804;0.040455120101137804;0.03034134007585335
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 304-2007.pdf;Campana_2007-2008;VIRGINIA;1;2;4291.0;;;4291.0;3.904;3.955;1084.9557522123894;;;1084.9557522123894
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 361-2007.pdf;Campana_2007-2008;BURLEY;63;2;0.264;0.456;0.56;0.328;3.904;3.955;0.06675094816687738;0.11529709228824274;0.1415929203539823;0.0829329962073325
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 9-2007.pdf;Campana_2006-2007;BURLEY;62;4;0.296;0.08;0.24;0.2;3.904;3.955;0.07484197218710492;0.020227560050568902;0.0606826801517067;0.050568900126422255
2005-2006;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 168-2006.pdf;Campana_2005-2006;VIRGINIA;Y;2;5465.0;;;5465.0;3.904;3.955;1381.795195954488;;;1381.795195954488
2005-2006;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 167-2006.pdf;Campana_2005-2006;CRIOLLO MISIONERO;N;5;0.4;;;0.4;3.904;3.955;0.10113780025284451;;;0.10113780025284451
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 7-2007.pdf;Campana_2006-2007;VIRGINIA;64;8;0.544;0.28;0.32;0.728;3.904;3.955;0.13754740834386853;0.07079646017699115;0.08091024020227561;0.184070796460177
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 7-2007.pdf;Campana_2006-2007;VIRGINIA;65;6;0.664;0.568;;0.568;3.904;3.955;0.16788874841972187;0.14361567635903918;;0.14361567635903918
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 7-2007.pdf;Campana_2006-2007;VIRGINIA;Y;2;5465.0;;;5465.0;3.904;3.955;1381.795195954488;;;1381.795195954488
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 304-2007.pdf;Campana_2007-2008;VIRGINIA;Y;2;5465.0;;;5465.0;3.904;3.955;1381.795195954488;;;1381.795195954488
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 46-2007.pdf;Campana_2006-2007;CRIOLLO CHAQUEÑO;CH;3;0.4;0.356;0.3;0.164;3.904;3.955;0.10113780025284451;0.0900126422250316;0.07585335018963336;0.04146649810366625
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 46-2007.pdf;Campana_2006-2007;VIRGINIA;Y;2;5465.0;;;5465.0;3.904;3.955;1381.795195954488;;;1381.795195954488
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 44-2007.pdf;Campana_2006-2007;VIRGINIA;Y;2;5465.0;;;5465.0;3.904;3.955;1381.795195954488;;;1381.795195954488
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 40-2007.pdf;Campana_2006-2007;VIRGINIA;Y;2;5465.0;;;5465.0;3.904;3.955;1381.795195954488;;;1381.795195954488
2004-2005;Incremento FET;1975-11-13;000002-Resolución Nº 158-2005.pdf;Campana_2004-2005;VIRGINIA;64;41;0.29;0.258;0.22;0.238;3.904;3.955;0.07332490518331225;0.0652338811630847;0.05562579013906448;0.06017699115044248
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 7-2007.pdf;Campana_2006-2007;VIRGINIA;47;2;0.312;0.48;0.384;0.216;3.904;3.955;0.07888748419721871;0.1213653603034134;0.09709228824273072;0.05461441213653603
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 9-2007.pdf;Campana_2006-2007;BURLEY;45;6;0.56;0.328;0.36;0.584;3.904;3.955;0.1415929203539823;0.0829329962073325;0.09102402022756005;0.14766118836915296
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 9-2007.pdf;Campana_2006-2007;BURLEY;58;4;0.688;0.52;0.632;0.264;3.904;3.955;0.17395701643489253;0.13147914032869784;0.1597977243994943;0.06675094816687738
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 39-2007.pdf;Campana_2006-2007;VIRGINIA;Y;2;5465.0;;;5465.0;3.904;3.955;1381.795195954488;;;1381.795195954488
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 9-2007.pdf;Campana_2006-2007;BURLEY;71;2;0.56;0.64;0.696;0.736;3.904;3.955;0.1415929203539823;0.16182048040455121;0.17597977243994942;0.18609355246523387
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 9-2007.pdf;Campana_2006-2007;BURLEY;76;8;0.6;;;0.6;3.904;3.955;0.15170670037926673;;;0.15170670037926673
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 7-2007.pdf;Campana_2006-2007;VIRGINIA;62;4;0.384;0.424;0.68;0.576;3.904;3.955;0.09709228824273072;0.10720606826801517;0.17193426042983567;0.14563843236409607
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 9-2007.pdf;Campana_2006-2007;VIRGINIA;Y;2;5465.0;;;5465.0;3.904;3.955;1381.795195954488;;;1381.795195954488
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 7-2007.pdf;Campana_2006-2007;VIRGINIA;17;15;0.84;0.76;0.76;0.64;3.904;3.955;0.21238938053097345;0.19216182048040456;0.19216182048040456;0.16182048040455121
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 7-2007.pdf;Campana_2006-2007;VIRGINIA;13;6;0.12;;;0.12;3.904;3.955;0.03034134007585335;;;0.03034134007585335
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 7-2007.pdf;Campana_2006-2007;VIRGINIA;38;4;0.344;0.4;0.296;0.312;3.904;3.955;0.08697850821744627;0.10113780025284451;0.07484197218710492;0.07888748419721871
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 9-2007.pdf;Campana_2006-2007;VIRGINIA;Y;2;5465.0;;;5465.0;3.904;3.955;1381.795195954488;;;1381.795195954488
2005-2006;Resolución / Anexo General;1990-12-19;000001-Resolución Nº 22-2006.pdf;Campana_2005-2006;VIRGINIA;Y;2;5465.0;;;5465.0;3.904;3.955;1381.795195954488;;;1381.795195954488
2005-2006;Resolución / Anexo General;1990-12-19;000001-Resolución Nº 22-2006.pdf;Campana_2005-2006;VIRGINIA;65;6;0.664;0.568;;0.568;3.904;3.955;0.16788874841972187;0.14361567635903918;;0.14361567635903918
2005-2006;Resolución / Anexo General;1990-12-19;000001-Resolución Nº 22-2006.pdf;Campana_2005-2006;VIRGINIA;62;4;0.384;0.424;0.68;0.576;3.904;3.955;0.09709228824273072;0.10720606826801517;0.17193426042983567;0.14563843236409607
2005-2006;Resolución / Anexo General;1990-12-19;000001-Resolución Nº 22-2006.pdf;Campana_2005-2006;VIRGINIA;38;4;0.592;0.488;0.488;0.288;3.904;3.955;0.14968394437420984;0.12338811630847028;0.12338811630847028;0.07281921618204804
2005-2006;Resolución / Anexo General;1990-12-19;000001-Resolución Nº 22-2006.pdf;Campana_2005-2006;VIRGINIA;47;2;0.312;0.48;0.384;0.216;3.904;3.955;0.07888748419721871;0.1213653603034134;0.09709228824273072;0.05461441213653603
2005-2006;Resolución / Anexo General;1990-12-19;000001-Resolución Nº 22-2006.pdf;Campana_2005-2006;VIRGINIA;38;4;0.344;0.4;0.296;0.312;3.904;3.955;0.08697850821744627;0.10113780025284451;0.07484197218710492;0.07888748419721871
2005-2006;Resolución / Anexo General;1990-12-19;000001-Resolución Nº 22-2006.pdf;Campana_2005-2006;VIRGINIA;20;8;0.16;0.16;0.16;0.12;3.904;3.955;0.040455120101137804;0.040455120101137804;0.040455120101137804;0.03034134007585335
2005-2006;Resolución / Anexo General;1990-12-19;000001-Resolución Nº 22-2006.pdf;Campana_2005-2006;VIRGINIA;13;6;0.136;0.12;0.84;0.76;3.904;3.955;0.03438685208596713;0.03034134007585335;0.21238938053097345;0.19216182048040456
2005-2006;Resolución / Anexo General;1990-12-19;000001-Resolución Nº 22-2006.pdf;Campana_2005-2006;VIRGINIA;64;8;0.544;0.28;0.32;0.728;3.904;3.955;0.13754740834386853;0.07079646017699115;0.08091024020227561;0.184070796460177
2005-2006;Resolución / Anexo General;1990-12-19;000001-Resolución Nº 22-2006.pdf;Campana_2005-2006;VIRGINIA;Y;2;5465.0;;;5465.0;3.904;3.955;1381.795195954488;;;1381.795195954488
2021-2022;Resolución / Anexo General;1991-12-28;0001009-Resolución Nº 22-2016.pdf;Campana_2021-2022;BURLEY;2540;80;7.817;;;7.817;3.904;3.955;1.9764854614412137;;;1.9764854614412137
2021-2022;Resolución / Anexo General;1991-12-28;0001009-Resolución Nº 22-2016.pdf;Campana_2021-2022;CRIOLLO ARGENTINO;H;2;6.77;;;6.77;3.904;3.955;1.711757269279393;;;1.711757269279393
2021-2022;Resolución / Anexo General;1991-12-28;0001009-Resolución Nº 22-2016.pdf;Campana_2021-2022;CRIOLLO MISIONERO;N;4;1.036;;;1.036;3.904;3.955;0.26194690265486725;;;0.26194690265486725
2021-2022;Resolución / Anexo General;1991-12-28;0001009-Resolución Nº 22-2016.pdf;Campana_2021-2022;CRIOLLO ARGENTINO;X;4;1.251;;;1.251;3.904;3.955;0.31630847029077114;;;0.31630847029077114
2021-2022;Resolución / Anexo General;1991-12-28;0001009-Resolución Nº 22-2016.pdf;Campana_2021-2022;CRIOLLO ARGENTINO;C;2;4.415;;;4.415;3.904;3.955;1.116308470290771;;;1.116308470290771
2012-2013;Resolución / Anexo General;1994-12-28;000019-Resolución Nº 1303-2012.pdf;Campana_2012-2013;CRIOLLO CORRENTINO;C;2;1.371;;;1.371;3.904;3.955;0.3466498103666245;;;0.3466498103666245
2011-2012;Resolución / Anexo General;1994-12-28;000001-Resolución Nº 11-2012.pdf;Campana_2011-2012;VIRGINIA;Y;2;6467.0;;;6467.0;3.904;3.955;1635.1453855878635;;;1635.1453855878635
2011-2012;Resolución / Anexo General;1994-12-28;000001-Resolución Nº 11-2012.pdf;Campana_2011-2012;VIRGINIA;647;39;0.431;;;0.431;3.904;3.955;0.10897597977243995;;;0.10897597977243995
2011-2012;Resolución / Anexo General;1994-12-28;000001-Resolución Nº 11-2012.pdf;Campana_2011-2012;VIRGINIA;576;95;1.326;;;1.326;3.904;3.955;0.3352718078381795;;;0.3352718078381795
2012-2013;Resolución / Anexo General;1994-12-28;000019-Resolución Nº 1303-2012.pdf;Campana_2012-2013;VIRGINIA;Y;2;6467.0;;;6467.0;3.904;3.955;1635.1453855878635;;;1635.1453855878635
2012-2013;Resolución / Anexo General;1994-12-28;000019-Resolución Nº 1303-2012.pdf;Campana_2012-2013;VIRGINIA;Y;2;6467.0;;;6467.0;3.904;3.955;1635.1453855878635;;;1635.1453855878635
2012-2013;Resolución / Anexo General;1994-12-28;000019-Resolución Nº 1303-2012.pdf;Campana_2012-2013;CRIOLLO MISIONERO;Y;2;6467.0;;;6467.0;3.904;3.955;1635.1453855878635;;;1635.1453855878635
2012-2013;Resolución / Anexo General;1994-12-28;000019-Resolución Nº 1303-2012.pdf;Campana_2012-2013;CRIOLLO ARGENTINO;Y;2;6467.0;;;6467.0;3.904;3.955;1635.1453855878635;;;1635.1453855878635
2012-2013;Resolución / Anexo General;1994-12-28;000019-Resolución Nº 1303-2012.pdf;Campana_2012-2013;BURLEY;N;8;0.079;;;0.079;3.904;3.955;0.019974715549936788;;;0.019974715549936788
2012-2013;Resolución / Anexo General;1994-12-28;000019-Resolución Nº 1303-2012.pdf;Campana_2012-2013;CRIOLLO ARGENTINO;C;1;2.46;;;2.46;3.904;3.955;0.6219974715549936;;;0.6219974715549936
2012-2013;Resolución / Anexo General;1994-12-28;000019-Resolución Nº 1303-2012.pdf;Campana_2012-2013;CRIOLLO CORRENTINO;C;1;1.541;;;1.541;3.904;3.955;0.3896333754740834;;;0.3896333754740834
2012-2013;Resolución / Anexo General;1994-12-28;000019-Resolución Nº 1303-2012.pdf;Campana_2012-2013;CRIOLLO ARGENTINO;T;4;0.643;;;0.643;3.904;3.955;0.16257901390644752;;;0.16257901390644752
2012-2013;Resolución / Anexo General;1994-12-28;000019-Resolución Nº 1303-2012.pdf;Campana_2012-2013;CRIOLLO ARGENTINO;39;4;2.274;2.274;2.274;2.154;3.904;3.955;0.574968394437421;0.574968394437421;0.574968394437421;0.5446270543615676
2012-2013;Resolución / Anexo General;1994-12-28;000019-Resolución Nº 1303-2012.pdf;Campana_2012-2013;CRIOLLO ARGENTINO;67;6;1.436;1.556;;1.556;3.904;3.955;0.3630847029077117;0.3934260429835651;;0.3934260429835651
2012-2013;Resolución / Anexo General;1994-12-28;000019-Resolución Nº 1303-2012.pdf;Campana_2012-2013;CRIOLLO ARGENTINO;95;7;0.718;;;0.718;3.904;3.955;0.18154235145385586;;;0.18154235145385586
2012-2013;Resolución / Anexo General;1994-12-28;000019-Resolución Nº 1303-2012.pdf;Campana_2012-2013;CRIOLLO CHAQUEÑO;235;75;0.675;;;0.675;3.904;3.955;0.1706700379266751;;;0.1706700379266751
2012-2013;Resolución / Anexo General;1994-12-28;000019-Resolución Nº 1303-2012.pdf;Campana_2012-2013;CRIOLLO CHAQUEÑO;647;100;1.465;;;1.465;3.904;3.955;0.370417193426043;;;0.370417193426043
2012-2013;Resolución / Anexo General;1994-12-28;000019-Resolución Nº 1303-2012.pdf;Campana_2012-2013;CRIOLLO MISIONERO;N;5;0.221;;;0.221;3.904;3.955;0.055878634639696584;;;0.055878634639696584
2012-2013;Resolución / Anexo General;1994-12-28;000019-Resolución Nº 1303-2012.pdf;Campana_2012-2013;CRIOLLO MISIONERO;N;4;0.368;;;0.368;3.904;3.955;0.09304677623261694;;;0.09304677623261694
2012-2013;Resolución / Anexo General;1994-12-28;000019-Resolución Nº 1303-2012.pdf;Campana_2012-2013;CRIOLLO MISIONERO;90;82;1.103;;;1.103;3.904;3.955;0.2788874841972187;;;0.2788874841972187
2012-2013;Resolución / Anexo General;1994-12-28;000019-Resolución Nº 1303-2012.pdf;Campana_2012-2013;CRIOLLO MISIONERO;C;2;1.177;;;1.177;3.904;3.955;0.29759797724399495;;;0.29759797724399495
2012-2013;Resolución / Anexo General;1994-12-28;000019-Resolución Nº 1303-2012.pdf;Campana_2012-2013;CRIOLLO ARGENTINO;B;2;2.572;;;2.572;3.904;3.955;0.6503160556257901;;;0.6503160556257901
2011-2012;Resolución / Anexo General;1994-12-28;000001-Resolución Nº 11-2012.pdf;Campana_2011-2012;VIRGINIA;Y;2;6467.0;;;6467.0;3.904;3.955;1635.1453855878635;;;1635.1453855878635
2011-2012;Resolución / Anexo General;1994-12-28;000001-Resolución Nº 11-2012.pdf;Campana_2011-2012;VIRGINIA;Y;2;6467.0;;;6467.0;3.904;3.955;1635.1453855878635;;;1635.1453855878635
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;BURLEY;7;3;3.927;;;3.927;3.904;3.955;0.9929203539823008;;;0.9929203539823008
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;BURLEY;7;7;3.333;;;3.333;3.904;3.955;0.8427307206068269;;;0.8427307206068269
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;BURLEY;9;2;3.516;;;3.516;3.904;3.955;0.8890012642225031;;;0.8890012642225031
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;BURLEY;O;89;3.653;;;3.653;3.904;3.955;0.9236409608091024;;;0.9236409608091024
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;BURLEY;9;6;3.425;;;3.425;3.904;3.955;0.865992414664981;;;0.865992414664981
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;BURLEY;8;3;4.383;;;4.383;3.904;3.955;1.1082174462705436;;;1.1082174462705436
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;BURLEY;1090;90;3.653;;;3.653;3.904;3.955;0.9236409608091024;;;0.9236409608091024
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;BURLEY;Y;2;6467.0;;;6467.0;3.904;3.955;1635.1453855878635;;;1635.1453855878635
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;CRIOLLO CORRENTINO;1;2;6467.0;;;6467.0;3.904;3.955;1635.1453855878635;;;1635.1453855878635
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;BURLEY;8;6;2.968;;;2.968;3.904;3.955;0.7504424778761062;;;0.7504424778761062
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;VIRGINIA;Y1;2;6467.0;;;6467.0;3.904;3.955;1635.1453855878635;;;1635.1453855878635
2013-2014;Resolución / Anexo General;1995-03-30;000070-Resolución Nº 29-2014.pdf;Campana_2013-2014;VIRGINIA;0910;71;9.0;;;9.0;3.904;3.955;2.275600505689001;;;2.275600505689001
2013-2014;Resolución / Anexo General;1995-03-30;000070-Resolución Nº 29-2014.pdf;Campana_2013-2014;CRIOLLO MISIONERO;Y;2;6467.0;;;6467.0;3.904;3.955;1635.1453855878635;;;1635.1453855878635
2013-2014;Resolución / Anexo General;1995-03-30;000070-Resolución Nº 29-2014.pdf;Campana_2013-2014;CRIOLLO MISIONERO;Y;2;6467.0;;;6467.0;3.904;3.955;1635.1453855878635;;;1635.1453855878635
2013-2014;Resolución / Anexo General;1995-03-30;000070-Resolución Nº 29-2014.pdf;Campana_2013-2014;VIRGINIA;Y;2;6467.0;;;6467.0;3.904;3.955;1635.1453855878635;;;1635.1453855878635
2011-2012;Resolución / Anexo General;1995-03-30;000001-Resolución Nº 128-2012.pdf;Campana_2011-2012;VIRGINIA;Y;2;6467.0;;;6467.0;3.904;3.955;1635.1453855878635;;;1635.1453855878635
2011-2012;Resolución / Anexo General;1995-03-30;000001-Resolución Nº 128-2012.pdf;Campana_2011-2012;BURLEY;Y;2;6467.0;;;6467.0;3.904;3.955;1635.1453855878635;;;1635.1453855878635
2011-2012;Resolución / Anexo General;1995-03-30;000001-Resolución Nº 128-2012.pdf;Campana_2011-2012;BURLEY;Y;2;6467.0;;;6467.0;3.904;3.955;1635.1453855878635;;;1635.1453855878635
2011-2012;Resolución / Anexo General;1995-03-30;000001-Resolución Nº 128-2012.pdf;Campana_2011-2012;BURLEY;16;6;0.497;0.414;;0.414;3.904;3.955;0.12566371681415928;0.10467762326169405;;0.10467762326169405
2013-2014;Resolución / Anexo General;1995-03-30;000070-Resolución Nº 29-2014.pdf;Campana_2013-2014;VIRGINIA;1760;27;2.09;;;2.09;3.904;3.955;0.5284450063211125;;;0.5284450063211125
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;BURLEY;6;5;3.607;;;3.607;3.904;3.955;0.9120101137800253;;;0.9120101137800253
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;BURLEY;8;5;3.79;;;3.79;3.904;3.955;0.9582806573957017;;;0.9582806573957017
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;BURLEY;3;7;1.872;;;1.872;3.904;3.955;0.4733249051833123;;;0.4733249051833123
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;BURLEY;4;1;3.561;;;3.561;3.904;3.955;0.9003792667509481;;;0.9003792667509481
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;BURLEY;6030;57;3.196;;;3.196;3.904;3.955;0.8080910240202276;;;0.8080910240202276
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;BURLEY;7;8;2.877;;;2.877;3.904;3.955;0.727433628318584;;;0.727433628318584
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;BURLEY;6;3;1.507;;;1.507;3.904;3.955;0.3810366624525916;;;0.3810366624525916
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;BURLEY;3;3;0.457;;;0.457;3.904;3.955;0.11554993678887485;;;0.11554993678887485
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;CRIOLLO CHAQUEÑO;CH;1;2.164;;;2.164;3.904;3.955;0.5471554993678888;;;0.5471554993678888
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;CRIOLLO CHAQUEÑO;CH;2;1.926;;;1.926;3.904;3.955;0.48697850821744626;;;0.48697850821744626
2014-2015;Resolución / Anexo General;1995-03-30;000068-Resolución Nº 02-2015.pdf;Campana_2014-2015;CRIOLLO CHAQUEÑO;H;3;1.623;;;1.623;3.904;3.955;0.41036662452591655;;;0.41036662452591655
2011-2012;Resolución / Anexo General;1995-09-15;000001-Resolución Nº 36-2012.pdf;Campana_2011-2012;VIRGINIA;Y;2;6467.0;;;6467.0;3.904;3.955;1635.1453855878635;;;1635.1453855878635
2011-2012;Resolución / Anexo General;1995-09-15;000001-Resolución Nº 36-2012.pdf;Campana_2011-2012;VIRGINIA;Y;2;6467.0;;;6467.0;3.904;3.955;1635.1453855878635;;;1635.1453855878635
2011-2012;Resolución / Anexo General;1995-09-15;000001-Resolución Nº 36-2012.pdf;Campana_2011-2012;VIRGINIA;Y;2;6467.0;;;6467.0;3.904;3.955;1635.1453855878635;;;1635.1453855878635
2011-2012;Resolución / Anexo General;1995-09-15;000001-Resolución Nº 36-2012.pdf;Campana_2011-2012;VIRGINIA;X;2;0.829;;;0.829;3.904;3.955;0.20960809102402023;;;0.20960809102402023
2011-2012;Resolución / Anexo General;1995-09-15;000001-Resolución Nº 36-2012.pdf;Campana_2011-2012;VIRGINIA;C;3;0.774;;;0.774;3.904;3.955;0.19570164348925412;;;0.19570164348925412
