campana;provincia;tipo_tabaco;razon_social;es_subtotal_empresa;volumen_acopio_kg;valor_acopio_pesos;precio_promedio_empresa;pagina_origen
2024/2025;MISIONES;VIRGINIA;Cooperativa Tabacalera San Vicente LTDA (COTAVI);False;10013.0;27726865.65;2769.09;13
2024/2025;MISIONES;VIRGINIA;TOTAL_TIPO;True;10013.0;27726865.65;2769.09;13
2024/2025;MISIONES;CRIOLLO MISIONERO;Bonpland Leaf S.A.;False;125048.0;305034875.0;2439.34;13
2024/2025;MISIONES;CRIOLLO MISIONERO;Comercial Industrial Misionera Argentina S.A.;False;27528.0;67046000.0;2435.56;13
2024/2025;MISIONES;CRIOLLO MISIONERO;Cooperativa Agropecuaria Taruma Limitada;False;6134.0;12528125.0;2042.41;13
2024/2025;MISIONES;CRIOLLO MISIONERO;Cooperativa Tabacalera San Vicente LTDA (COTAVI);False;15573.0;37429950.0;2403.52;13
2024/2025;MISIONES;CRIOLLO MISIONERO;TOTAL_TIPO;True;174283.0;422038950.0;2421.57;13
2024/2025;MISIONES;BURLEY;Alliance One Tobacco Argentina Sociedad Anónima (Misiones);False;2857061.0;7620633031.25;2667.3;13
2024/2025;MISIONES;BURLEY;Bonpland Leaf S.A.;False;2667479.0;7408950468.75;2777.51;13
2024/2025;MISIONES;BURLEY;Comercial Industrial Misionera Argentina S.A.;False;4421786.0;12268105531.25;2774.47;13
2024/2025;MISIONES;BURLEY;Cooperativa Agroindustrial de Misiones LTDA (CTM);False;12196499.0;34577414281.25;2835.03;13
2024/2025;MISIONES;BURLEY;Cooperativa Agropecuaria Industrial Argentina Ltda.;False;947470.0;2455420500.0;2591.55;13
2024/2025;MISIONES;BURLEY;Cooperativa Agropecuaria Panambí LTDA;False;662471.0;1801990937.5;2720.11;13
2024/2025;MISIONES;BURLEY;Cooperativa Agropecuaria Taruma Limitada;False;577981.0;1519092875.0;2628.27;13
2024/2025;MISIONES;BURLEY;Cooperativa Tabacalera San Vicente LTDA (COTAVI);False;2127328.0;5974761437.5;2808.58;13
2024/2025;MISIONES;BURLEY;Massalin Particulares S.R.L. Misiones;False;10983523.0;30913304937.5;2814.52;13
2024/2025;MISIONES;BURLEY;Tabacalera J.I.;False;778466.0;2067653000.0;2656.06;13
2024/2025;MISIONES;BURLEY;TBC S.R.L.;False;453060.0;1146583937.5;2530.76;13
2024/2025;MISIONES;BURLEY;Nueva Alfader S.A.S.;False;191228.0;544807562.5;2848.99;13
2024/2025;MISIONES;BURLEY;Tabacalera El Negro;False;510687.0;1426483468.75;2793.26;13
2024/2025;MISIONES;BURLEY;TOTAL_TIPO;True;39375039.0;109725201968.75;2786.67;13
2024/2025;SALTA;VIRGINIA;Acopiadora S.A.;False;562307.0;890759956.5;1584.12;14
2024/2025;SALTA;VIRGINIA;Alliance One Tobacco Argentina Sociedad Anónima (Salta);False;7556100.0;24289604097.93;3214.57;14
2024/2025;SALTA;VIRGINIA;Cooperativa de Productores Tabacaleros de Salta LTDA. (COPROTAB);False;21269518.0;69779394920.88;3280.72;14
2024/2025;SALTA;VIRGINIA;Massalin Particulares S.R.L. Salta;False;5983921.0;18201585950.46;3041.75;14
2024/2025;SALTA;VIRGINIA;Ochoa, Carlos Raúl;False;6038.0;14252151.69;2360.41;14
2024/2025;SALTA;VIRGINIA;Tabes S.A.;False;663802.0;1933261180.2;2912.41;14
2024/2025;SALTA;VIRGINIA;TOTAL_TIPO;True;36041686.0;115108858257.66;3193.77;14
