provincia;tipo_tabaco;es_subtotal_provincial;es_total_nacional;volumen_kg;valor_acopio_pesos;precio_acopio_promedio;valor_fet_pesos;precio_fet_promedio;valor_total_pesos;precio_total_promedio;campana
CHACO;CR. CHAQUEÑO;False;False;402238.0;13800354.71;34.31;6969338.98;17.33;20769693.69;51.64;2019/2020
TUCUMAN;SUBTOTAL_PROVINCIAL;True;False;8307752.0;546314661.01;65.76;345587897.46;41.6;891902558.47;107.36;2019/2020
TUCUMAN;VIRGINIA;False;False;71166.0;7078019.04;99.46;3573826.58;50.22;10651845.62;149.68;2019/2020
TUCUMAN;BURLEY;False;False;7987963.0;521855171.0;65.33;333236152.85;41.72;855091323.85;107.05;2019/2020
TUCUMAN;CR. ARGENTINO;False;False;248623.0;17381470.97;69.91;8777918.03;35.31;26159389.0;105.22;2019/2020
CORRIENTES;SUBTOTAL_PROVINCIAL;True;False;2051162.0;93088014.91;45.38;47010718.34;22.92;140098733.25;68.3;2019/2020
CORRIENTES;CR. CORRENTINO;False;False;2051162.0;93088014.91;45.38;47010718.34;22.92;140098733.25;68.3;2019/2020
CORRIENTES;VIRGINIA;False;False;70639053.0;7007951848.54;;3539143274.83;;10547095123.37;;2019/2020
CORRIENTES;BURLEY;False;False;38370554.0;3203136682.08;;1617649016.53;;4820785698.61;;2019/2020
CORRIENTES;CR. MISIONERO;False;False;1049401.0;45458910.61;;22957951.36;;68416861.97;;2019/2020
CORRIENTES;CR. CHAQUEÑO;False;False;402238.0;13800354.71;;6969338.98;;20769693.69;;2019/2020
CORRIENTES;CR. ARGENTINO;False;False;344234.0;24028424.18;;12134748.48;;36163172.66;;2019/2020
TOTAL_NACIONAL;TOTAL_NACIONAL;False;True;97886412.0;13604915184.04;138.99;7933477431.27;81.05;21538392615.31;220.03;2020/2021
JUJUY;SUBTOTAL_PROVINCIAL;True;False;28729078.0;4036748575.92;140.51;2353869820.98;81.93;6390618396.9;222.44;2020/2021
JUJUY;VIRGINIA;False;False;28729078.0;4036748575.92;140.51;2353869820.98;81.93;6390618396.9;222.44;2020/2021
