mes,precio_inferior,precio_promedio_ponderado,precio_superior,primer_quartil,segundo_quartil,tercer_quartil,cuarto_quartil,total_paquetes
ago-10,1.6,5.48,7.5,1450344.0,18413810.0,135250541.0,14357871.0,169472566.0
sep-10,2.4,5.54,8.0,1956295.0,20327282.0,148916504.0,2396039.0,173596120.0
oct-10,2.0,5.96,7.5,1207335.0,16828134.0,74876221.0,74689148.0,167600838.0
nov-10,2.0,5.98,7.5,1201651.0,16786006.0,78946838.0,79944809.0,176879304.0
dic-10,1.7,5.98,7.5,1301408.0,16617833.0,96648517.0,95534190.0,210101948.0
ene-11,1.7,5.97,7.5,1422696.0,14461663.0,85753002.0,81926086.0,183563447.0
feb-11,2.0,6.32,8.0,1325000.0,16154655.0,91846463.0,58072334.0,167398452.0
mar-11,2.0,6.47,8.0,1259430.0,16963120.0,86365127.0,87896781.0,192484458.0
abr-11,2.0,6.47,8.0,1367740.0,15253611.0,76988020.0,80686960.0,174296331.0
may-11,2.0,6.48,8.0,1269438.0,15346881.0,76656387.0,81364970.0,174637676.0
jun-11,2.0,6.61,8.5,1410732.0,16198404.0,83724658.0,68478496.0,169812290.0
jul-11,2.0,6.74,8.5,1201288.0,15284193.0,69682756.0,76541710.0,162709947.0
ago-11,2.0,6.52,8.5,11118832.0,16678761.0,76674857.0,82620706.0,187093156.0
sep-11,2.0,6.74,8.5,1453938.0,16838591.0,77097855.0,85091997.0,180482381.0
oct-11,2.0,6.76,8.75,1235890.0,15946057.0,95373640.0,62962766.0,175518353.0
nov-11,2.0,7.23,9.0,1438404.0,15173239.0,82968563.0,78671925.0,178252131.0
dic-11,2.0,7.28,9.0,1208720.4,16698219.3,91364860.0,98416846.88,207688647.0
ene-12,2.0,7.28,9.0,1324743.6,13829220.1,82909617.5,86145412.32,184208994.0
feb-12,2.0,7.28,9.0,1217195.6,13992388.0,81008595.0,83881502.97,180099682.0
mar-12,2.0,7.66,9.5,1482085.0,16753426.35,77215253.0,100383802.62,195834567.0
abr-12,2.0,7.88,9.5,1263650.0,12187411.5,53772273.15,97945456.77,165168791.0
may-12,2.0,7.89,9.5,1177714.0,13153578.0,57230143.55,106127659.87,177689095.0
jun-12,2.0,7.9,9.5,1373390.0,12806727.0,55733782.0,103103850.0,173017749.0
jul-12,2.0,8.0,10.0,1240720.0,13160958.0,72617215.0,72706121.0,159725014.0
ago-12,2.0,8.03,10.0,1286100.0,13974201.0,80972935.0,84023479.0,180256715.0
sep-12,2.0,8.09,10.5,1253360.0,12769269.0,68707507.0,79576820.0,162306956.0
oct-12,2.0,8.51,11.0,1437020.0,15402681.0,81815946.0,83204786.0,181860433.0
nov-12,2.0,8.56,11.0,1321480.0,14746739.0,81225503.0,86642551.0,183936273.0
dic-12,2.0,8.58,11.0,1381418.0,15161743.0,83882655.0,95821124.0,196246939.0
ene-13,2.0,8.93,11.0,1416880.0,8885444.0,65200336.0,103008043.0,178510703.0
feb-13,2.0,9.03,11.0,1494160.0,7169398.0,56408121.0,100909378.0,165981057.0
Mzo-13,2.0,9.05,11.0,1366458.0,8378007.0,62463397.0,114917003.0,187124865.0
abr-13,2.0,9.09,11.5,1420980.0,6404576.0,78508666.0,79695641.0,166029863.0
may-13,2.0,9.51,12.0,1566290.0,6785487.0,80880092.0,76442281.0,165674150.0
jun-13,2.0,9.51,12.0,1379920.0,7019921.0,76958019.0,75202021.0,160559881.0
jul-13,2.0,9.53,12.0,1356863.0,6001171.0,81991899.0,76148199.0,165498132.0
ago-13,2.0,9.55,12.0,1109814.0,6712404.0,87039389.0,82850050.0,177711657.0
sep-13,2.0,9.84,13.0,1607420.0,8217751.0,87367182.0,62510073.0,159702426.0
oct-13,2.0,10.51,13.0,1657280.0,1284648.0,68433243.0,110391525.0,181766696.0
nov-13,2.0,10.52,13.0,1352118.0,1307073.0,63292442.0,109180941.0,175132574.0
dic-13,2.0,10.54,16.36,1682618.0,15921522.0,187325931.0,186.077,205116148.0
ene-14,2.0,10.56,13.0,1471160.0,1314880.0,74776150.0,135602801.0,213164991.0
feb-14,2.0,11.42,14.0,1718270.0,1158975.0,58264435.0,91209167.0,152350847.0
mar-14,2.0,11.51,14.0,1368750.0,461.25,58946504.0,103956447.0,164732951.0
abr-14,2.0,11.6,16.5,1430690.0,12382254.0,162754924.0,17458896.0,194026764.0
may-14,2.0,14.43,17.0,1805949.0,541.932,10873810.0,125221871.0,138443562.0
