fecha,empresas_grandes,porcentaje_participacion_grandes,empresas_pymes,porcentaje_participacion_pymes,total_mercado,total_porcentaje_participacion,total_mercado_x_campana
dic-14,191444397.0,97.87,4164445.0,2.13,195608842.0,100.0,0.0
ene-15,161946268.0,98.19,2982060.0,1.81,164928328.0,100.0,
feb-15,158678602.0,97.36,4299145.0,2.64,162977747.0,100.0,
mar-15,181925194.0,98.59,2607377.0,1.41,184532571.0,100.0,
abr-15,160370720.0,97.1,4787110.0,2.9,165157830.0,100.0,
may-15,156525852.0,96.36,5910154.0,3.64,162436006.0,100.0,
jun-15,142669384.0,94.86,7730335.0,5.14,150399719.0,100.0,
jul-15,164477949.0,95.11,8453735.0,4.89,172931684.0,100.0,
ago-15,154648843.0,95.4,7464780.0,4.6,162113623.0,100.0,
sep-15,149148893.0,94.55,8590441.0,5.45,157739334.0,100.0,
oct-15,161976077.0,96.93,5131788.0,3.07,167107865.0,100.0,0.0
nov-15,162891202.0,95.32,7996795.0,4.68,170887997.0,100.0,2016821546.0
dic-15,202077090.0,96.36,7622950.0,3.64,209700040.0,100.0,0.0
ene-16,155529394.0,95.74,6912585.0,4.26,162441979.0,100.0,
feb-16,147426813.0,95.02,7734245.0,4.98,155161058.0,100.0,
mar-16,161517346.0,95.09,8333403.0,4.91,169850749.0,100.0,
abr-16,169462354.0,95.71,7594225.0,4.29,177056579.0,100.0,0.0
may-16,92843880.0,94.18,5737985.0,5.82,98581865.0,100.0,
jun-16,133195068.0,94.67,7502910.0,5.33,140697978.0,100.0,
jul-16,119236477.0,93.84,7820650.0,6.16,127057127.0,100.0,
ago-16,146708791.0,94.51,8526065.0,5.49,155234856.0,100.0,
sep-16,129893655.0,92.75,10157125.0,7.25,140050780.0,100.0,
oct-16,133862206.0,93.65,9079875.0,6.35,142942081.0,100.0,
nov-16,141215559.0,92.7,11112625.0,7.3,152328184.0,100.0,1831103275.0
dic-16,161503932.0,93.53,11176895.0,6.47,172680827.0,100.0,0.0
ene-17,151899115.0,92.34,12597640.0,7.66,164496755.0,100.0,
feb-17,121633095.0,90.45,12840523.0,9.55,134473618.0,100.0,
mar-17,149699090.0,91.03,14743880.0,8.97,164442970.0,100.0,
abr-17,128746591.0,90.15,14062280.0,9.85,142808871.0,100.0,
may-17,133288183.0,90.63,13773020.0,9.37,147061203.0,100.0,
